# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\mario.png	0	0	255
20	textures\misc.png	176	224	248
30	textures\TreeWorldMap.png	255	255	255
3000	map\WorldMap.png	255	0	255
[SPRITES]
0	138	50	152	66	0
1	155	50	169	66	0

2	1	1	15	15	30
3	16	1	30	16	30
4	31	1	46	16	30
5	47	2	62	16	30
[ANIMATIONS]
0	0	100	1	100

1	2	100	3	100	4	100	5	100
[ANIMATION_SETS]
0	0

1	1
[OBJECTS]
#---Mario---
0	37	54	0
#---Plant
1	20	101	1	0
# --- SCENE PORTAL ----
# type	l	t	id-potal	r	b	scene_id
50	69	53	2	85	69	1	1	0	1	0
50	37	53	1	53	69	1	0	1	0	0
50	67	21	3	83	37	2	0	1	0	1
50	101	21	4	117	37	0	1	1	0	0
50	126	21	5	142	37	0	1	1	0	1
50	156	21	6	172	37	0	1	1	0	0
50	156	53	8	172	69	4	1	1	0	0
50	191	21	9	207	37	1	1	0	0	1
50	191	53	10	207	69	1	1	0	1	0
50	126	53	11	142	69	1	0	1	1	1
50	126	87	12	142	103	1	1	0	1	0
50	95	87	13	111	103	1	1	1	0	0
50	67	87	14	83	103	1	0	1	1	1
50	69	121	15	85	137	1	0	0	1	1
50	67	156	16	83	172	1	0	1	1	0
50	101	156	17	117	172	1	1	1	0	0
50	126	156	18	142	172	1	1	0	1	0
50	67	73	19	83	85	1	0	0	0	1
50	95	121	20	111	137	1	0	1	0	0
50	126	121	21	142	137	1	1	0	0	1



[MAP]
3000	map\WorldMap.txt	16	20	10	14	16	16	1
