126	125
0	50	280	15	29
6	240	368	48	48
6	272	336	48	80
6	400	368	80	48
6	464	336	64	80
6	512	304	64	112
6	512	384	96	32
6	1264	384	112	32
6	1296	352	112	64
6	1328	320	112	96
6	1312	144	64	32
6	2144	368	48	48
6	2176	272	48	144
8	360	384	16	32
8	1864	384	16	32
22	1800	384	16	20
5	352	368	32	48
5	1792	384	32	32
5	1856	368	32	48
5	2256	112	32	192
5	2256	384	32	32
5	2320	384	32	32
4	0	416	624	16
4	624	400	464	32
4	1152	416	352	16
4	1536	416	80	16
4	1664	416	576	16
4	2256	416	560	16
4	1408	192	64	16
4	1488	176	208	16
4	2080	464	16	176
4	2096	624	160	16
4	2304	528	48	16
4	2352	464	16	80
7	176	352	16	16
7	192	352	16	16
7	224	304	16	16
7	240	304	16	16
7	416	320	16	16
7	656	384	16	16
7	704	352	16	16
7	1472	368	16	16
1	1984	368	16	16
1	2000	368	16	16
1	2016	368	16	16
1	2032	368	16	16
1	2048	368	16	16
1	2096	400	16	16
1	2112	400	16	16
1	2112	384	16	16
1	1952	400	16	16
1	1968	400	16	16
1	1984	400	16	16
1	2000	400	16	16
1	2016	400	16	16
1	2032	400	16	16
1	2048	400	16	16
1	1968	384	16	16
1	1984	384	16	16
1	2000	384	16	16
1	2016	384	16	16
1	2032	384	16	16
1	2048	384	16	16
11	1504	336	16	16
11	1520	336	16	16
11	1568	400	16	16
11	1584	400	16	16
11	1600	400	16	16
11	1584	384	16	16
11	1600	384	16	16
11	1600	368	16	16
11	1664	400	16	16
11	1680	400	16	16
11	1696	400	16	16
11	1664	384	16	16
11	1680	384	16	16
11	1664	368	16	16
11	2257	368	16	16
11	2272	368	16	16
11	2257	304	16	16
11	2272	304	16	16
11	2224	608	16	16
11	2240	592	16	16
11	2256	576	16	16
11	2272	560	16	16
11	2288	544	16	16
2	320	400	16	16
2	400	400	16	16
2	832	370	16	16
2	880	370	16	16
2	928	370	16	16
9	600	352	16	24
3	528	352	16	24
9	2112	352	16	24
3	1440	384	16	24
3	1344	272	16	24
3	1392	272	16	24
3	1424	272	16	24
50	2270	96	4	16
50	2336	512	4	16
21	2176	576	16	16
21	2192	592	16	16
21	2208	592	16	16
21	2224	576	16	16
21	2224	560	16	16
21	2192	544	16	16
21	2208	544	16	16
21	2224	528	16	16
21	2224	512	16	16
21	2192	496	16	16
21	2208	496	16	16
21	2176	512	16	16
24	2688	336	16	16
